project,organism,file_source,project_home,project_type,n_samples
SRP107565,human,sra,data_sources/sra,data_sources,216
SRP149665,human,sra,data_sources/sra,data_sources,4
SRP017465,human,sra,data_sources/sra,data_sources,23
SRP119165,human,sra,data_sources/sra,data_sources,6
SRP133965,human,sra,data_sources/sra,data_sources,12
SRP096765,human,sra,data_sources/sra,data_sources,7
SRP124965,human,sra,data_sources/sra,data_sources,12
SRP189165,human,sra,data_sources/sra,data_sources,15
SRP050365,human,sra,data_sources/sra,data_sources,10
SRP123065,human,sra,data_sources/sra,data_sources,41
SRP162465,human,sra,data_sources/sra,data_sources,8
SRP178865,human,sra,data_sources/sra,data_sources,24
SRP032165,human,sra,data_sources/sra,data_sources,24
SRP125965,human,sra,data_sources/sra,data_sources,72
SRP120165,human,sra,data_sources/sra,data_sources,18
SRP044265,human,sra,data_sources/sra,data_sources,6
SRP014565,human,sra,data_sources/sra,data_sources,1
SRP057065,human,sra,data_sources/sra,data_sources,51
SRP117665,human,sra,data_sources/sra,data_sources,9
SRP049465,human,sra,data_sources/sra,data_sources,4
SRP007665,human,sra,data_sources/sra,data_sources,1
SRP124265,human,sra,data_sources/sra,data_sources,2
SRP187765,human,sra,data_sources/sra,data_sources,14
SRP157965,human,sra,data_sources/sra,data_sources,63
SRP150065,human,sra,data_sources/sra,data_sources,18
SRP201065,human,sra,data_sources/sra,data_sources,4
SRP169065,human,sra,data_sources/sra,data_sources,12
SRP119065,human,sra,data_sources/sra,data_sources,4
SRP048565,human,sra,data_sources/sra,data_sources,18
SRP092465,human,sra,data_sources/sra,data_sources,8
SRP047065,human,sra,data_sources/sra,data_sources,13
SRP105765,human,sra,data_sources/sra,data_sources,6
SRP013565,human,sra,data_sources/sra,data_sources,2212
SRP072665,human,sra,data_sources/sra,data_sources,9
SRP132065,human,sra,data_sources/sra,data_sources,3
SRP094565,human,sra,data_sources/sra,data_sources,24
SRP187565,human,sra,data_sources/sra,data_sources,12
SRP212065,human,sra,data_sources/sra,data_sources,11
SRP126165,human,sra,data_sources/sra,data_sources,30
SRP078365,human,sra,data_sources/sra,data_sources,8
SRP075565,human,sra,data_sources/sra,data_sources,9
SRP099865,human,sra,data_sources/sra,data_sources,12
SRP077565,human,sra,data_sources/sra,data_sources,22
SRP115565,human,sra,data_sources/sra,data_sources,32
ERP010065,human,sra,data_sources/sra,data_sources,8
SRP071665,human,sra,data_sources/sra,data_sources,4
SRP201365,human,sra,data_sources/sra,data_sources,79
SRP033365,human,sra,data_sources/sra,data_sources,1
SRP110765,human,sra,data_sources/sra,data_sources,16
SRP045065,human,sra,data_sources/sra,data_sources,8
SRP098865,human,sra,data_sources/sra,data_sources,12
SRP182665,human,sra,data_sources/sra,data_sources,16
SRP152865,human,sra,data_sources/sra,data_sources,8
SRP108065,human,sra,data_sources/sra,data_sources,14
SRP125165,human,sra,data_sources/sra,data_sources,13
SRP056665,human,sra,data_sources/sra,data_sources,12
SRP068565,human,sra,data_sources/sra,data_sources,20
SRP066865,human,sra,data_sources/sra,data_sources,24
SRP072365,human,sra,data_sources/sra,data_sources,11
SRP163265,human,sra,data_sources/sra,data_sources,8
SRP165165,human,sra,data_sources/sra,data_sources,12
SRP072865,human,sra,data_sources/sra,data_sources,8
SRP066365,human,sra,data_sources/sra,data_sources,12
ERP106765,human,sra,data_sources/sra,data_sources,6
SRP167165,human,sra,data_sources/sra,data_sources,36
ERP109065,human,sra,data_sources/sra,data_sources,3
SRP181265,human,sra,data_sources/sra,data_sources,8
SRP065865,human,sra,data_sources/sra,data_sources,30
SRP182965,human,sra,data_sources/sra,data_sources,24
SRP100165,human,sra,data_sources/sra,data_sources,4
SRP103065,human,sra,data_sources/sra,data_sources,6
SRP142465,human,sra,data_sources/sra,data_sources,8
SRP031765,human,sra,data_sources/sra,data_sources,1
SRP045565,human,sra,data_sources/sra,data_sources,5
SRP071965,human,sra,data_sources/sra,data_sources,355
SRP116165,human,sra,data_sources/sra,data_sources,4
SRP193065,human,sra,data_sources/sra,data_sources,24
SRP119465,human,sra,data_sources/sra,data_sources,368
SRP108765,human,sra,data_sources/sra,data_sources,4
SRP092065,human,sra,data_sources/sra,data_sources,14
SRP070165,human,sra,data_sources/sra,data_sources,4
SRP075965,human,sra,data_sources/sra,data_sources,6
SRP167965,human,sra,data_sources/sra,data_sources,9
SRP211765,human,sra,data_sources/sra,data_sources,3
SRP194165,human,sra,data_sources/sra,data_sources,6
SRP004965,human,sra,data_sources/sra,data_sources,3
SRP073065,human,sra,data_sources/sra,data_sources,2
DRP000665,human,sra,data_sources/sra,data_sources,7
SRP212665,human,sra,data_sources/sra,data_sources,24
SRP116965,human,sra,data_sources/sra,data_sources,12
SRP149965,human,sra,data_sources/sra,data_sources,6
DRP004465,human,sra,data_sources/sra,data_sources,4
SRP137465,human,sra,data_sources/sra,data_sources,1
SRP126765,human,sra,data_sources/sra,data_sources,12
SRP109765,human,sra,data_sources/sra,data_sources,37
SRP096865,human,sra,data_sources/sra,data_sources,12
SRP064165,human,sra,data_sources/sra,data_sources,8
SRP167265,human,sra,data_sources/sra,data_sources,6
SRP149865,human,sra,data_sources/sra,data_sources,36
SRP218865,human,sra,data_sources/sra,data_sources,8
SRP114965,human,sra,data_sources/sra,data_sources,10
SRP051765,human,sra,data_sources/sra,data_sources,41
SRP189565,human,sra,data_sources/sra,data_sources,38
SRP142765,human,sra,data_sources/sra,data_sources,5
SRP062865,human,sra,data_sources/sra,data_sources,20
SRP029365,human,sra,data_sources/sra,data_sources,4
SRP127665,human,sra,data_sources/sra,data_sources,4
SRP095865,human,sra,data_sources/sra,data_sources,2
SRP092165,human,sra,data_sources/sra,data_sources,2
SRP035665,human,sra,data_sources/sra,data_sources,2
SRP108712,human,sra,data_sources/sra,data_sources,23
SRP116312,human,sra,data_sources/sra,data_sources,12
SRP180012,human,sra,data_sources/sra,data_sources,4
SRP185812,human,sra,data_sources/sra,data_sources,6
SRP191312,human,sra,data_sources/sra,data_sources,2
SRP186312,human,sra,data_sources/sra,data_sources,36
SRP219912,human,sra,data_sources/sra,data_sources,9
SRP076812,human,sra,data_sources/sra,data_sources,16
DRP002712,human,sra,data_sources/sra,data_sources,1
SRP066112,human,sra,data_sources/sra,data_sources,2
SRP057512,human,sra,data_sources/sra,data_sources,10
SRP135512,human,sra,data_sources/sra,data_sources,15
SRP103812,human,sra,data_sources/sra,data_sources,47
SRP117312,human,sra,data_sources/sra,data_sources,36
ERP104512,human,sra,data_sources/sra,data_sources,1908
SRP216512,human,sra,data_sources/sra,data_sources,9
SRP066012,human,sra,data_sources/sra,data_sources,20
SRP055512,human,sra,data_sources/sra,data_sources,12
SRP190212,human,sra,data_sources/sra,data_sources,14
SRP113012,human,sra,data_sources/sra,data_sources,22
SRP006912,human,sra,data_sources/sra,data_sources,5
SRP164912,human,sra,data_sources/sra,data_sources,4
SRP095212,human,sra,data_sources/sra,data_sources,9
SRP062212,human,sra,data_sources/sra,data_sources,7
SRP073112,human,sra,data_sources/sra,data_sources,49
SRP028912,human,sra,data_sources/sra,data_sources,18
SRP173312,human,sra,data_sources/sra,data_sources,12
SRP052612,human,sra,data_sources/sra,data_sources,20
SRP121512,human,sra,data_sources/sra,data_sources,24
SRP067012,human,sra,data_sources/sra,data_sources,12
SRP114312,human,sra,data_sources/sra,data_sources,8
SRP097912,human,sra,data_sources/sra,data_sources,10
ERP015612,human,sra,data_sources/sra,data_sources,30
SRP056612,human,sra,data_sources/sra,data_sources,20
SRP166012,human,sra,data_sources/sra,data_sources,9
SRP127412,human,sra,data_sources/sra,data_sources,8
SRP148112,human,sra,data_sources/sra,data_sources,5
SRP065812,human,sra,data_sources/sra,data_sources,52
SRP150612,human,sra,data_sources/sra,data_sources,9
SRP223012,human,sra,data_sources/sra,data_sources,1
SRP066912,human,sra,data_sources/sra,data_sources,3
SRP033612,human,sra,data_sources/sra,data_sources,1
SRP105312,human,sra,data_sources/sra,data_sources,11
SRP067312,human,sra,data_sources/sra,data_sources,9
SRP166112,human,sra,data_sources/sra,data_sources,864
ERP009612,human,sra,data_sources/sra,data_sources,6
SRP144312,human,sra,data_sources/sra,data_sources,3
ERP006112,human,sra,data_sources/sra,data_sources,2
SRP032812,human,sra,data_sources/sra,data_sources,20
SRP061412,human,sra,data_sources/sra,data_sources,8
SRP078912,human,sra,data_sources/sra,data_sources,34
SRP095512,human,sra,data_sources/sra,data_sources,10
SRP150212,human,sra,data_sources/sra,data_sources,6
SRP144912,human,sra,data_sources/sra,data_sources,770
SRP042212,human,sra,data_sources/sra,data_sources,15
SRP056912,human,sra,data_sources/sra,data_sources,3
SRP168212,human,sra,data_sources/sra,data_sources,11
SRP007412,human,sra,data_sources/sra,data_sources,21
SRP216212,human,sra,data_sources/sra,data_sources,4
SRP216312,human,sra,data_sources/sra,data_sources,12
SRP106712,human,sra,data_sources/sra,data_sources,6
SRP148412,human,sra,data_sources/sra,data_sources,8
ERP112912,human,sra,data_sources/sra,data_sources,14
SRP086612,human,sra,data_sources/sra,data_sources,32
SRP185512,human,sra,data_sources/sra,data_sources,36
ERP112312,human,sra,data_sources/sra,data_sources,6
SRP144212,human,sra,data_sources/sra,data_sources,56
SRP119312,human,sra,data_sources/sra,data_sources,60
ERP105312,human,sra,data_sources/sra,data_sources,15
SRP018312,human,sra,data_sources/sra,data_sources,2
SRP218612,human,sra,data_sources/sra,data_sources,6
SRP021912,human,sra,data_sources/sra,data_sources,6
SRP059712,human,sra,data_sources/sra,data_sources,6
SRP076712,human,sra,data_sources/sra,data_sources,12
SRP068912,human,sra,data_sources/sra,data_sources,8
SRP126212,human,sra,data_sources/sra,data_sources,13
SRP159512,human,sra,data_sources/sra,data_sources,6
SRP156312,human,sra,data_sources/sra,data_sources,6
SRP216012,human,sra,data_sources/sra,data_sources,36
SRP159412,human,sra,data_sources/sra,data_sources,4
SRP069212,human,sra,data_sources/sra,data_sources,282
SRP028612,human,sra,data_sources/sra,data_sources,12
SRP221712,human,sra,data_sources/sra,data_sources,8
SRP120012,human,sra,data_sources/sra,data_sources,2
ERP114912,human,sra,data_sources/sra,data_sources,8
SRP131312,human,sra,data_sources/sra,data_sources,4
SRP035312,human,sra,data_sources/sra,data_sources,15
SRP212318,human,sra,data_sources/sra,data_sources,20
SRP104418,human,sra,data_sources/sra,data_sources,23
SRP134018,human,sra,data_sources/sra,data_sources,43
SRP021918,human,sra,data_sources/sra,data_sources,3
