Gene,Ensemble_ID,KB,Function
IFIT1,ENSG00000185745.9,13.91,Inflammatory
CCL5,ENSG00000271503.5,9.3,Inflammatory
CXCL10,ENSG00000169245.5,2.379,Inflammatory
IFNB1,ENSG00000171855.6,0.838,Inflammatory
ADAR,ENSG00000160710.16,46.318,Regulatory
IFIH1,ENSG00000115267.6,51.61,Sensor
ACTB,ENSG00000075624.14,37.493,Housekeeping
GAPDH,ENSG00000111640.14,3.862,Housekeeping
